_id,p1,p2,p1_selected,p2_selected,p1_turn,Moves,active_player,most recent activity,p1c1,p1c2,p1c1_health,p1c2_health,p2c1_health,p2c2_health,usernames,p2c1,p2c2,start_time,p1_abandon,p1c1_stun,p1c2_stun,p2_abandon,p2c1_stun,p2c2_stun,elo_scores_at_end,skill_points_at_end,end_time,winner,seen_by_one,balance_code
7009,,,TRUE,TRUE,TRUE,"['p2Gp1A_97', 'p1Ap2R_88p2G_79', 'p2Rp1A_32', 'p1Bp2G_84', 'p2Gp1B_81', 'p1Bp2G_52', 'p2Rp1B_16', 'p1Bp2R_56', 'p2Rp1B_82']",chins,"['2020-06-05 23:31:44.484000', 'p2']",Archer,Barbarian,0,0,3,0,"['chins', 'Nari']",Rogue,Gunner,37:00.2,0,0,0,0,0,0,"{'Nari': 182.3048417679004, 'chins': 962.5566108567913}","{'Nari': 6457, 'chins': 860}",31:45.2,2,1,1.2
7010,,,TRUE,TRUE,FALSE,"['p1Ap2G_28p2H_4', 'p2Hp1Rp2G_28', 'p1Ap2G_54p2H_68', 'p2Hp1Rp2G_32', 'p1Ap2G_35p2H_95', 'p2Gp1R_63', 'p1Ap2G_89p2H_47', 'p2Hp1Ap2G_43', 'p1Ap2G_94p2H_42', 'p2Gp1A_16', 'p1Ap2G_61p2H_62']",apropos0,"['2020-06-06 09:05:35.301000', 'p1']",Archer,Rogue,6,0,0,0,"['l17r', 'apropos0']",Gunner,Healer,48:14.3,0,0,0,0,0,0,"{'l17r': -1506.9987906250258, 'apropos0': 2437.89334645938}","{'l17r': 6748, 'apropos0': 8555}",05:36.4,1,1,1.2
7011,,,TRUE,TRUE,TRUE,"['p2Rp1G_5', 'p1Gp2W_14', 'p2Rp1G_51', 'p1Gp2W_42', 'p2Rp1G_82', 'p1Wp2R_75', 'p2Wp1W_80', 'p1_skip', 'p2Wp1W_47', 'p1_skip', 'p2Wp1W_27', 'p1_skip', 'p2Wp1W_35']",cptKav,"['2020-06-06 09:03:35.306000', 'p2']",Gunner,Wizard,0,0,3,6,"['cptKav', 'Deanerbeck']",Wizard,Rogue,01:35.5,0,0,1,0,0,0,"{'Deanerbeck': -1278.5436943764144, 'cptKav': 1093.5429641447015}","{'Deanerbeck': 7040, 'cptKav': 7005}",03:36.2,2,1,1.2
7012,,,TRUE,TRUE,FALSE,"['p1Gp2G_72', 'p2Gp1G_1', 'p1Gp2G_28', 'p2Gp1G_96', 'p1Gp2G_41', 'p2Wp1W_13', 'p1Wp2W_99', 'p2_skip', 'p1Gp2W_52', 'p2Wp1W_48', 'p1Gp2W_74']",cptKav,"['2020-06-06 10:54:02.663000', 'p1']",Gunner,Wizard,3,6,0,0,"['ECDr', 'cptKav']",Gunner,Wizard,14:50.4,0,0,0,0,0,0,"{'ECDr': 3952.7039745794486, 'cptKav': 1061.5429668815289}","{'ECDr': 7356, 'cptKav': 7000}",54:03.3,1,1,1.2
7013,,,TRUE,TRUE,FALSE,"['p2Gp1G_92', 'p1Gp2G_71', 'p2Gp1G_91', 'p1Rp2G_43', 'p2Rp1R_6', 'p1Rp2R_21', 'p2Rp1R_13', 'p1Rp2R_99', 'p2Rp1R_74', 'p1Rp2R_87']",apropos0,"['2020-06-06 11:20:34.035000', 'p1']",Gunner,Rogue,0,5,0,0,"['creilly1', 'apropos0']",Gunner,Rogue,55:44.9,0,0,0,0,0,0,"{'creilly1': 437.0996104098896, 'apropos0': 2437.8930279219157}","{'creilly1': 8298, 'apropos0': 8540}",20:35.6,1,1,1.2
7014,,,TRUE,TRUE,FALSE,"['p1Gp2A_53', 'p2Ap1G_49p1W_98', 'p1Gp2A_49', 'p2Hp1Wp2A_94', 'p1Gp2A_46', 'p2Hp1G_98', 'p1Gp2H_30']",TheMaster,"['2020-06-04 19:54:57.185000', 'p1']",Gunner,Wizard,4,4,5,0,"['Luca1802', 'TheMaster']",Healer,Archer,01:42.8,0,0,0,0,0,0,,,,,,1.2
7015,,,TRUE,TRUE,TRUE,"['p1Gp2G_50', 'p2Gp1W_85', 'p1Gp2G_40', 'p2Bp1W_95', 'p1Wp2B_4', 'p2Bp1W_84', 'p1Gp2B_27', 'p2Bp1G_98', 'p1Gp2B_39', 'p2Bp1G_92']",Luca1802,"['2020-06-04 23:37:02.931000', 'p2']",Gunner,Wizard,0,0,0,4,"['Luca1802', 'timri']",Gunner,Barbarian,46:57.7,0,0,0,0,0,0,"{'timri': 2469.4327502110946, 'Luca1802': 856.2782062965579}","{'timri': 6216, 'Luca1802': 3700}",37:04.1,2,1,1.2
7016,,,TRUE,TRUE,TRUE,"['p1Gp2R_3', 'p2Gp1W_14', 'p1Gp2R_36', 'p2Gp1W_57', 'p1Gp2R_93', 'p2Gp1W_69', 'p1Gp2G_64', 'p2Gp1G_38', 'p1Gp2G_26', 'p2Gp1G_57']",Martin,"['2020-06-06 13:29:19.233000', 'p2']",Gunner,Wizard,0,0,0,3,"['Martin', 'Nari']",Rogue,Gunner,40:28.2,0,0,0,0,0,0,"{'Nari': 213.2072469701631, 'Martin': -428.4176605909808}","{'Nari': 6498, 'Martin': 2303}",29:19.7,2,1,1.2
7017,,,TRUE,TRUE,TRUE,"['p1Ap2G_5p2B_75', 'p2Gp1R_90', 'p1Ap2G_77p2B_66', 'p2Gp1R_87', 'p1Ap2G_44p2B_61', 'p2Bp1A_18', 'p1Ap2G_98p2B_22', 'p2Bp1A_87', 'p1Ap2G_3p2B_21', 'p2Gp1A_33']",l17r,"['2020-06-06 13:15:57.665000', 'p2']",Archer,Rogue,0,0,2,0,"['l17r', 'Frp97']",Gunner,Barbarian,05:42.1,0,0,0,0,0,0,"{'Frp97': 3441.372343296147, 'l17r': -1538.9987906250094}","{'Frp97': 6871, 'l17r': 6743}",15:58.5,2,1,1.2
7018,,,TRUE,TRUE,TRUE,"['p2Gp1R_71', 'p1Gp2H_42', 'p2Gp1R_9', 'p1Rp2H_13', 'p2Gp1R_57', 'p1Gp2H_9', 'p2Hp1Gp2H_47', 'p1Gp2H_35', 'p2Hp1Gp2H_28', 'p1Gp2H_72', 'p2Gp1G_29', 'p1Gp2G_98', 'p2Gp1G_80']",apropos0,"['2020-06-06 13:53:37.607000', 'p2']",Gunner,Rogue,0,0,4,0,"['apropos0', 'rocinante']",Gunner,Healer,37:25.9,0,0,0,0,0,0,"{'rocinante': 1029.9966100423464, 'apropos0': 2437.8833617712025}","{'rocinante': 1162, 'apropos0': 8525}",53:39.2,2,1,1.2
7019,,,TRUE,TRUE,TRUE,"['p1Gp2W_78', 'p2Gp1R_15', 'p1Rp2W_14', 'p2Gp1R_68', 'p1Gp2W_20', 'p2Gp1R_9', 'p1Gp2W_24', 'p2Wp1R_85', 'p1Gp2W_61', 'p2Gp1G_34', 'p1Gp2G_83', 'p2Gp1G_58']",Nari,"['2020-06-06 14:04:33.556000', 'p2']",Rogue,Gunner,0,0,4,0,"['Nari', 'cptKav']",Gunner,Wizard,54:53.4,0,0,0,0,0,0,"{'cptKav': 1093.3141187212993, 'Nari': 181.44768668393164}","{'cptKav': 7089, 'Nari': 6489}",04:34.2,2,1,1.2
7020,,,TRUE,TRUE,FALSE,"['p2Gp1W_87', 'p1Gp2G_98', 'p2Gp1W_66', 'p1Gp2G_52', 'p2Kp1G_50', 'p1Gp2K_52', 'p2Kp1G_34', 'p1Gp2K_30', 'p2Kp1G_2', 'p1Gp2K_61']",apropos0,"['2020-06-06 14:04:22.680000', 'p1']",Wizard,Gunner,0,2,0,0,"['cptKav', 'apropos0']",Gunner,Knight,36:23.7,0,0,0,0,0,0,"{'cptKav': 1061.554558435068, 'apropos0': 2437.871770217663}","{'cptKav': 7050, 'apropos0': 8510}",04:23.5,1,1,1.2
7021,,,TRUE,TRUE,FALSE,"['p1Gp2G_12', 'p2Gp1B_67', 'p1Gp2G_37', 'p2Gp1B_75', 'p1Bp2H_95', 'p2Hp1Bp2G_36', 'p1Gp2H_44', 'p2Gp1G_53', 'p1Gp2G_89']",Jules,"['2020-06-06 08:47:02.818000', 'p1']",Gunner,Barbarian,4,0,0,0,"['Frp97', 'Jules']",Healer,Gunner,57:05.0,0,0,0,0,0,0,"{'Frp97': 3379.362538327691, 'Jules': 1029.4363652673037}","{'Frp97': 6805, 'Jules': 729}",47:03.4,1,1,1.2
7022,,,FALSE,TRUE,FALSE,[],none,"['2020-06-06 13:16:31.915000', 'p2']",,,99,99,99,99,"['Luca1802', 'Frp97']",Gunner,Barbarian,,,,,,,,,,,,,1.2
7023,,,TRUE,TRUE,FALSE,"['p2Kp1W_80', 'p1Gp2B_61', 'p2Kp1W_8', 'p1Gp2B_7', 'p2Kp1W_1', 'p1Gp2B_84', 'p2Kp1W_88', 'p1Wp2K_94', 'p2_skip', 'p1Wp2K_93', 'p2_skip', 'p1Gp2K_37', 'p2Kp1W_22', 'p1Gp2K_71']",dalinar,"['2020-06-05 23:03:09.418000', 'p1']",Gunner,Wizard,8,0,0,0,"['ECDr', 'dalinar']",Barbarian,Knight,42:00.0,0,0,0,0,0,0,"{'ECDr': 3920.703977316276, 'dalinar': 1086.6343279343905}","{'ECDr': 7314, 'dalinar': 2711}",03:09.9,1,1,1.2
7024,,,TRUE,TRUE,FALSE,"['p1Ap2G_98p2W_52', 'p2Gp1W_20', 'p1Wp2G_3', 'p2Gp1W_24', 'p1Wp2G_76', 'p2Wp1W_46', 'p1Ap2G_26p2W_6', 'p2Gp1W_49', 'p1Ap2G_78p2W_94', 'p2Wp1A_5', 'p1Ap2W_85', 'p2Wp1A_80', 'p1_skip', 'p2Wp1A_98', 'p1_skip', 'p2Wp1A_69', 'p1_skip', 'p2Wp1A_24', 'p1_skip', 'p2Wp1A_10', 'p1Ap2W_28']",Ellen,"['2020-06-06 14:29:46.254000', 'p1']",Wizard,Archer,0,1,0,0,"['Beccccca', 'Ellen']",Gunner,Wizard,59:17.3,0,0,0,0,0,0,"{'Beccccca': 911.8649878781948, 'Ellen': 4295.499131122419}","{'Beccccca': 1045, 'Ellen': 8469}",29:47.4,1,1,1.2
7025,,,TRUE,TRUE,FALSE,"['p1Gp2G_42', 'p2Gp1G_64', 'p1Gp2G_35', 'p2Bp1G_58', 'p1Gp2B_16', 'p2Bp1G_41', 'p1Rp2B_59', 'p2Bp1R_64', 'p1Rp2B_95']",Ellen,"['2020-06-06 14:15:50.405000', 'p1']",Rogue,Gunner,5,0,0,0,"['Nari', 'Ellen']",Gunner,Barbarian,47:50.9,0,0,0,0,0,0,"{'Nari': 181.4476866855913, 'Ellen': 4295.499131233609}","{'Nari': 6537, 'Ellen': 8469}",15:51.4,1,1,1.2
7026,,,FALSE,FALSE,FALSE,[],none,"['2020-06-06 16:51:10.965000', 'probablytom']",,,,,,,,,,,,,,,,,,,,,,1.2
7027,,,TRUE,TRUE,TRUE,"['p1Gp2A_70', 'p2Ap1G_98p1R_62']",Andy,"['2020-06-05 16:03:40.280000', 'p2']",Gunner,Rogue,6,6,5,8,"['Andy', 'l17r']",Archer,Rogue,36:24.6,0,0,0,0,0,0,,,,,,1.2
7028,,,TRUE,TRUE,TRUE,[],Jack,"['2020-06-05 09:21:54.246000', 'p2']",Archer,Rogue,99,99,99,99,"['Jack', 'Frp97']",Gunner,Barbarian,21:54.2,,,,,,,,,,,,1.2
7029,,,TRUE,TRUE,FALSE,"['p1Mp2H_8', 'p2Ap1M_4p1B_4', 'p1Mp2A_80', 'p1Mp2A_47', 'p1Mp2A_7', 'p2Hp1Mp2A_71', 'p1Mp2A_95', 'p1Mp2A_31', 'p1Mp2A_40', 'p1Mp2A_25', 'p1Mp2A_9', 'p2Hp1Mp2A_63', 'p1Mp2A_27', 'p1Mp2A_90', 'p1Mp2A_2', 'p2Ap1M_18p1B_69', 'p1Mp2A_30', 'p1Bp2A_79', 'p2Hp1M_0', 'p1Mp2H_10', 'p2Hp1M_30', 'p1Mp2H_40', 'p1Mp2H_31', 'p1Bp2H_94', 'p2Hp1Mp2H_32', 'p1Bp2H_99', 'p2Hp1Bp2H_2', 'p1Bp2H_57']",aaaa,"['2020-06-06 17:47:19.502000', 'p1']",Monk,Barbarian,0,7,0,0,"['BerrySauce', 'aaaa']",Archer,Healer,51:26.2,0,0,0,0,0,0,"{'BerrySauce': 1154.5612805323985, 'aaaa': -310.2247884271974}","{'BerrySauce': 295, 'aaaa': 2048}",47:20.9,1,1,1.2
7030,,,TRUE,TRUE,FALSE,"['p1Gp2G_39', 'p2Gp1G_0', 'p1Gp2G_17', 'p2Gp1G_27', 'p1Gp2G_92', 'p2Rp1G_0', 'p1Gp2R_92', 'p2Rp1G_95', 'p1Gp2R_41']",Nari,"['2020-06-06 19:10:02.158000', 'p1']",Gunner,Rogue,3,8,0,0,"['apropos0', 'Nari']",Rogue,Gunner,08:28.5,0,0,0,0,0,0,"{'apropos0': 2469.871682298291, 'Nari': 181.44617500245963}","{'apropos0': 8541, 'Nari': 6573}",10:03.5,1,1,1.2
7031,,,TRUE,TRUE,FALSE,"['p1Gp2H_60', 'p2Hp1Gp2H_40', 'p1Gp2H_41', 'p2Hp1Gp2H_53', 'p1Gp2H_92', 'p2Kp1W_37', 'p1Gp2K_61', 'p2Kp1W_0', 'p1Wp2K_14', 'p2Kp1W_99', 'p1Wp2K_49', 'p2_skip', 'p1Wp2K_59', 'p2_skip', 'p1Wp2K_59']",elennon,"['2020-06-06 18:45:44.305000', 'p1']",Gunner,Wizard,4,2,0,0,"['Luca1802', 'elennon']",Healer,Knight,51:44.1,0,0,0,0,0,1,"{'Luca1802': 829.7713132218032, 'elennon': 1379.5896990582542}","{'Luca1802': 3736, 'elennon': 3632}",45:45.2,1,1,1.2
7032,,,TRUE,TRUE,FALSE,"['p1Gp2A_39', 'p2Ap1G_50p1R_9', 'p1Rp2A_31', 'p2Bp1G_12', 'p1Gp2B_7', 'p2Bp1G_60', 'p1Gp2B_10', 'p2Bp1G_36', 'p1Rp2B_91', 'p2Bp1R_38', 'p1Rp2B_8', 'p2Bp1R_24', 'p1Rp2B_33']",chins,"['2020-06-06 14:55:34.541000', 'p1']",Gunner,Rogue,0,3,0,0,"['Ezzey', 'chins']",Archer,Barbarian,09:43.7,0,0,0,0,0,0,"{'Ezzey': 2910.0051986253297, 'chins': 930.5571314759446}","{'Ezzey': 3534, 'chins': 855}",55:35.4,1,1,1.2
7033,,,TRUE,TRUE,FALSE,"['p2Ap1G_40p1R_68', 'p1Gp2A_38', 'p2Ap1G_1p1R_82', 'p1Rp2A_61', 'p2Hp1R_53', 'p1Gp2H_29', 'p2Hp1Rp2H_18', 'p1Gp2H_50', 'p2Hp1Gp2H_79', 'p1Gp2H_77', 'p2Hp1Gp2H_72', 'p1Gp2H_89']",aaaa,"['2020-06-06 19:40:23.638000', 'p1']",Gunner,Rogue,2,0,0,0,"['Beth', 'aaaa']",Archer,Healer,03:36.8,0,0,0,0,0,0,"{'Beth': 1588.8912783806843, 'aaaa': -342.22410080678577}","{'Beth': 3264, 'aaaa': 2034}",40:25.0,1,1,1.2
7034,,,TRUE,TRUE,TRUE,"['p1Gp2W_34', 'p2Wp1G_86', 'p1Kp2W_6', 'p2Gp1G_39', 'p1Gp2W_13', 'p2Wp1G_96', 'p1Kp2W_1', 'p2Wp1K_18', 'p1_skip', 'p2Gp1K_46', 'p1Kp2W_75', 'p2Gp1K_0', 'p1Kp2G_23', 'p2Gp1K_36']",apropos0,"['2020-06-06 19:48:30.855000', 'p2']",Gunner,Knight,0,0,5,0,"['apropos0', 'cptKav']",Gunner,Wizard,15:40.5,0,0,0,0,0,0,"{'cptKav': 1093.3256957982587, 'apropos0': 2469.8601052213317}","{'cptKav': 7138, 'apropos0': 8526}",48:31.6,2,1,1.2
7035,,,TRUE,TRUE,TRUE,"['p2Gp1A_95', 'p1Ap2R_16p2G_95', 'p2Rp1A_72', 'p1Rp2G_22', 'p2Gp1R_56', 'p1Rp2G_46', 'p2Rp1R_46']",l17r,"['2020-06-06 18:00:53.784000', 'p2']",Archer,Rogue,0,0,8,3,"['l17r', 'Nari']",Rogue,Gunner,40:01.5,0,0,0,0,0,0,"{'Nari': 213.44608708308763, 'l17r': -1570.99719100647}","{'Nari': 6578, 'l17r': 6762}",00:54.5,2,1,1.2
