,Username,Played,Won,losses,winrate,newmmr,Games,count_character_has_won,count_character_has_been_played,accepting_games,skill_points,last_logged_in,badge_progressions,elo,lost_against,current_season_skill
0,probablytom,263,137,126,0.520912548,950.634981,"['none', 'none', 'none', 'none', 'none']","{'K': 16, 'A': 33, 'R': 47, 'H': 33, 'W': 24, 'B': 54, 'M': 32, 'G': 35}","{'K': 43, 'A': 70, 'R': 97, 'H': 54, 'W': 46, 'B': 94, 'M': 48, 'G': 66}",TRUE,5820,49:51.2,"[24, 16, 27, 33, 83, 47, 41, 33, 19, 24, 26, 54, 12, 32, 27, 35, 642, 4, 1, 5820, 1054, 2284, 7, 0, 98, 43, 259, 97, 32, 5, 137, 22, 31, 38, 153, 29, 53, 1, 10, 2, 31, 2469, 7729, 837, 0, 0, 0, 0, 0, 0]",569.4768807,"['cute320215', 'Mageofheart', 'BestWilliam', 'grobis', 'CalHaribo', 'Etess', 'Sabotage', 'MarkyMark74', 'tanini', 'elennon', 'tanini', 'CalHaribo', 'deathseeker', 'probablyrob', 'jonildo', 'kubajj', 'cwallis', 'walshy1066', 'basta', 'Ellen', 'elennon', 'Apollogize', 'Ellen', 'Apollogize', 'Schmofe', 'walshy1066', 'sstein', 'apropos0', 'sophie', 'Ellen', 'basta', 'apropos0', 'sophie', 'sophie', 'Frp97', 'Luca1802', 'l17r', 'Beth', 'sstein', 'l17r', 'Beth', 'walshy1066', 'sophie', 'Frp97', 'basta', 'l17r', 'l17r', 'l17r', 'l17r', 'Frp97', 'Beth', 'Ezzey', 'l17r', 'Martin', 'l17r', 'Ellen', 'basta', 'aaaa', 'Frp97', 'Luca1802', 'DX13', 'Luca1802', 'Frp97', 'Frp97', 'Beccccca', 'DavetheRave', 'Frp97', 'Deanerbeck', 'apropos0']",2469
1,cptKav,498,233,265,0.467871486,826.9859438,"['waiting', 'none', 'none', 'none', 'none']","{'K': 58, 'A': 92, 'R': 56, 'H': 53, 'W': 38, 'B': 80, 'M': 38, 'G': 51}","{'K': 118, 'A': 183, 'R': 133, 'H': 102, 'W': 94, 'B': 148, 'M': 94, 'G': 120}",TRUE,8606,44:48.4,"[51, 58, 111, 92, 67, 56, 44, 53, 46, 38, 66, 80, 58, 38, 53, 51, 522, 2, 1, 8606, 1279, 3792, 9, 0, 100, 94, 496, 183, 62, 17, 233, 11, 10, 490, 30, 9, 120, 1, 12, 2, 10, 4761, 4529, 2387, 0, 0, 0, 0, 0, 0]",696.980879,"['demander', 'Mageofheart', 'BestWilliam', 'BestWilliam', 'BestWilliam', 'Mageofheart', 'Mageofheart', 'Mageofheart', 'Mageofheart', 'sidb', 'sidb', 'Alliyana', 'TheMaster', 'Alliyana', 'creilly2', 'CalHaribo', 'Etess', 'whiplash', 'tanini', 'tanini', 'whiplash', 'kubajj', 'probablytom', 'kubajj', 'Jamie', 'meow', 'Jamie', 'Jamie', 'bladestoe', 'Jamie', 'Fbomb', 'norgart', 'mosam1311', 'Fbomb', 'Fbomb', 'creilly1', 'Fbomb', 'Ellen', 'basta', 'creilly1', 'basta', 'basta', 'creilly1', 'Ellen', 'Ellen', 'Fbomb', 'Paddy', 'Ellen', 'Fbomb', 'georgedo', 'creilly1', 'creilly1', 'alan', 'jack', 'pool27', 'georgedo', 'jack', 'basta', 'sstein', 'Frp97', 'Ellen', 'Ellen', 'Frp97', 'creilly1', 'sstein', 'ECDr', 'sstein', 'creilly1', 'Master4444', 'Frp97', 'georgedo', 'Ellen', 'BetterThanU', 'Nonni', 'Ellen', 'Jhannah', 'Ellen', 'sstein', 'probablytom', 'sstein', 'Andy', 'sstein', 'jaymoney', 'jaymoney', 'wasyl2001', 'Frp97', 'georgedo', 'ECDr', 'jaymoney', 'aaaa', 'sstein', 'sstein', 'dalinar', 'eggface', 'creilly1', 'creilly1', 'timri', 'timri', 'ECDr', 'ECDr', 'Ezzey', 'ECDr', 'apropos0', 'ECDr', 'ECDr', 'apropos0', 'creilly1', 'apropos0', 'BerrySauce', 'apropos0', 'Ellen', 'Nari', 'Deanerbeck', 'timri', 'timri', 'ECDr', 'Deanerbeck', 'Nari', 'ECDr', 'Deanerbeck', 'Deanerbeck', 'Luca1802', 'apropos0', 'apropos0', 'l17r', 'Nari', 'l17r', 'Luca1802', 'l17r', 'Luca1802', 'apropos0', 'timri', 'Luca1802', 'Deanerbeck', 'DX13', 'Luca1802', 'dalinar', 'DX13', 'l17r', 'dalinar', 'probablytom', 'DX13', 'vinl']",4761
2,Royce,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",FALSE,0,55:55.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
3,BestWilliam,50,32,18,0.64,1007.52,"['none', 'none', 'none', 'none', 'none']","{'K': 19, 'A': 1, 'R': 24, 'H': 3, 'W': 10, 'B': 3, 'M': 3, 'G': 1}","{'K': 28, 'A': 2, 'R': 39, 'H': 5, 'W': 15, 'B': 3, 'M': 3, 'G': 1}",TRUE,1131,18:38.7,"[10, 19, 0, 1, 28, 24, 4, 3, 4, 10, 1, 3, 1, 3, 0, 1, 174, 0, 0, 1131, 55, 1001, 9, 3, 100, 1, 48, 39, 14, 2, 32, 13, 1, 41, 0, 0, 13, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1262.801108,"['Ellen', 'Ellen', 'Ellen']",0
4,Ellen,690,345,345,0.5,827.5,"['none', 'none', 'none', 'none', 'none']","{'K': 34, 'A': 29, 'R': 102, 'H': 42, 'W': 94, 'B': 147, 'M': 22, 'G': 220}","{'K': 64, 'A': 62, 'R': 199, 'H': 89, 'W': 172, 'B': 281, 'M': 43, 'G': 456}",TRUE,10151,52:27.6,"[29, 34, 42, 29, 114, 102, 81, 42, 151, 94, 190, 147, 17, 22, 59, 220, 1329, 3, 1, 10171, 271, 3699, 9, 0, 100, 43, 683, 456, 90, 34, 345, 106, 35, 347, 135, 0, 189, 1, 10, 2, 31, 5468, 1568, 4131, 0, 0, 0, 0, 0, 0]",5853.154155,"['Marta', 'CalHaribo', 'Jules_217', 'CalHaribo', 'Gerr', 'sidb', 'Gerr', 'CalHaribo', 'creilly2', 'Rarno', 'TheMaster', 'Marta', 'superrad', 'cute320215', 'astrospanner', 'creilly2', 'Gerr', 'Gerr', 'versatile', 'versatile', 'oxocube', 'asdf', 'Gerr', 'Gerr', 'bcslippers', 'CalHaribo', 'probablyrob', 'charlotte', 'kubajj', 'tanini', 'kubajj', 'kubajj', 'Etess', 'ECDr', 'meow', 'meow', 'meow', 'meow', 'cwallis', 'cwallis', 'umachan', 'DoctorW', 'Jamie', 'DoctorW', 'creilly1', 'cwallis', 'Nonni', 'Sidthesloth', 'walshy1066', 'timri', 'timri', 'Beth', 'walshy1066', 'umachan', 'walshy1066', 'creilly1', 'mosam1311', 'Benlog', 'dalinar', 'timri', 'timri', 'timri', 'Silver', 'timri', 'timri', 'deathseeker', 'timri', 'Apollogize', 'Beth', 'timri', 'Morntato', 'sophie', 'Beth', 'georgedo', 'Jhannah', 'adamski5298', 'Nonni', 'Chrispie111', 'Chrispie111', 'Baepsae', 'ECDr', 'georgedo', 'Andy', 'georgedo', 'jaymoney', 'probablytom', 'creilly1', 'Tharry0', 'V4ssilios', 'eggface', 'Beth', 'basta', 'ECDr', 'Andy', 'timri', 'timri', 'basta', 'sstein', 'chins', 'Ezzey', 'creilly1', 'basta', 'Jules', 'Jules', 'BerrySauce', 'timri', 'Frp97', 'apropos0', 'Frp97', 'Jules', 'l17r', 'Martin', 'BerrySauce', 'Luca1802', 'l17r', 'Deanerbeck', 'l17r', 'Deanerbeck', 'l17r', 'ECDr', 'l17r', 'l17r', 'Beccccca', 'l17r', 'apropos0', 'elennon', 'Luca1802', 'timri', 'l17r', 'Luca1802', 'dalinar', 'ECDr', 'l17r', 'l17r', 'timri', 'DavetheRave', 'DavetheRave', 'Beccccca', 'Beccccca', 'Frp97', 'l17r', 'Deanerbeck', 'l17r', 'l17r', 'Beccccca', 'dalinar', 'DX13', 'vinl', 'Luca1802']",5448
5,alanismcq,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,36:56.1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
6,Frp97,737,436,301,0.591587517,1012.067843,"[None, None, None, None, None]","{'K': 4, 'A': 0, 'R': 10, 'H': 2, 'W': 11, 'B': 421, 'M': 11, 'G': 413}","{'K': 8, 'A': 2, 'R': 16, 'H': 8, 'W': 26, 'B': 700, 'M': 19, 'G': 683}",TRUE,15558,22:33.9,"[3, 4, 1, 0, 10, 10, 6, 2, 19, 11, 605, 421, 9, 11, 78, 413, 625, 0, 1, 15558, 2459, 2110, 11, 1, 99, 2, 731, 700, 45, 82, 436, 124, 8, 113, 345, 53, 224, 1, 5, 0, 47, 12358, 795, 10984, 0, 0, 0, 0, 0, 0]",11600.39076,"['asdf', 'LewisDyer', 'totem37', 'totem37', 'umachan', 'georgedo', 'kubajj', 'deathseeker', 'sophie', 'DoctorW', 'basta', 'pool27', 'basta', 'deathseeker', 'apropos0', 'georgedo', 'basta', 'sstein', 'basta', 'sstein', 'basta', 'walshy1066', 'walshy1066', 'georgedo', 'walshy1066', 'basta', 'Jhannah', 'ECDr', 'walshy1066', 'tickler', 'bobabell', 'bobabell', 'sstein', 'apropos0', 'apropos0', 'V4ssilios', 'alcam456', 'sophie', 'basta', 'basta', 'ECDr', 'jaymoney', 'basta', 'Nari', 'ECDr', 'apropos0', 'aaaa', 'aaaa', 'ECDr', 'Ellen', 'BerrySauce', 'Ellen', 'Ellen', 'Jules', 'Ellen', 'aaaa', 'BerrySauce', 'BerrySauce', 'ECDr', 'BerrySauce', 'ECDr', 'Ellen', 'DX13', 'Luca1802', 'vinl', 'DX13', 'probablytom', 'timri', 'timri', 'timri', 'Tharry0']",12358
7,Avodado14,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,23:14.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
8,Smellinda,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,37:13.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
9,Sabotage,54,24,30,0.444444444,977.3333333,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 0, 'R': 0, 'H': 3, 'W': 0, 'B': 0, 'M': 23, 'G': 21}","{'K': 5, 'A': 4, 'R': 2, 'H': 6, 'W': 4, 'B': 3, 'M': 43, 'G': 39}",TRUE,1172,24:34.1,"[1, 1, 3, 0, 1, 0, 5, 3, 4, 0, 0, 0, 37, 23, 2, 21, 63, 0, 2, 1172, 836, 450, 7, 0, 88, 2, 53, 43, 7, 3, 24, 18, 2, 2, 9, 29, 4, 1, 7, 3, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1184.429242,"['Ellen', 'Ellen', 'cptKav', 'georgedo', 'Ellen', 'cptKav', 'DoctorW', 'Ellen', 'Ellen', 'Ellen', 'l17r', 'creilly1', 'creilly1', 'Ellen', 'kubajj', 'norgart', 'Deanerbeck', 'l17r', 'Beth', 'Beth', 'Ellen', 'timri', 'basta', 'Ellen', 'Beth']",10
10,Jash98,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,42:53.8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
11,eggface,112,59,53,0.526785714,980.9196429,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 15, 'R': 28, 'H': 2, 'W': 9, 'B': 16, 'M': 27, 'G': 20}","{'K': 3, 'A': 26, 'R': 47, 'H': 5, 'W': 27, 'B': 30, 'M': 44, 'G': 42}",TRUE,2625,31:46.3,"[1, 1, 11, 15, 27, 28, 3, 2, 11, 9, 16, 16, 17, 27, 26, 20, 328, 0, 1, 2625, 521, 280, 6, 0, 100, 3, 112, 47, 24, 4, 59, 1, 0, 53, 0, 0, 29, 1, 4, 3, 0, 1061, 2717, 107, 0, 0, 0, 0, 0, 0]",858.1158531,"['Gerr', 'georgedo', 'georgedo', 'georgedo', 'georgedo', 'basta', 'apropos0', 'apropos0', 'sstein', 'sstein', 'sstein', 'Deanerbeck', 'Martin', 'sstein', 'ECDr', 'alcam456', 'sstein', 'basta', 'Luca1802', 'probablytom', 'Nari', 'Nari', 'dalinar', 'Luca1802']",1061
12,georgedo,291,147,144,0.505154639,931.742268,"['none', 'none', 'none', 'none', 'none']","{'K': 52, 'A': 13, 'R': 95, 'H': 1, 'W': 12, 'B': 11, 'M': 60, 'G': 50}","{'K': 106, 'A': 26, 'R': 167, 'H': 6, 'W': 25, 'B': 32, 'M': 117, 'G': 101}",TRUE,5885,03:18.7,"[15, 52, 14, 13, 140, 95, 6, 1, 18, 12, 12, 11, 14, 60, 71, 50, 564, 3, 3, 5855, 1819, 2486, 6, 4, 98, 6, 290, 167, 54, 9, 147, 11, 22, 205, 4, 0, 77, 1, 7, 0, 1, 2634, 1034, 1829, 0, 0, 0, 0, 0, 0]",1683.888902,"['BestWilliam', 'eggface', 'eggface', 'eggface', 'eggface', 'eggface', 'eggface', 'eggface', 'eggface', 'eggface', 'eggface', 'CalHaribo', 'tanini', 'eggface', 'pigeon', 'tanini', 'eggface', 'tanini', 'tanini', 'CalHaribo', 'eggface', 'probablytom', 'probablytom', 'Jamie', 'tanini', 'eggface', 'cwallis', 'kubajj', 'eggface', 'DavetheRave', 'Nonni', 'Nari', 'mosam1311', 'Atrps', 'Atrps', 'elennon', 'Luca1802', 'Paddy', 'Kush', 'probablytom', 'alan', 'Silver', 'timri', 'Nari', 'timri', 'creilly1', 'alcam456', 'alcam456', 'creilly1', 'jaymoney', 'jaymoney', 'Nari', 'alcam456', 'Ezzey', 'apropos0', 'alcam456', 'cptKav', 'Deanerbeck', 'ECDr', 'timri', 'ECDr', 'Tharry0', 'Jambo9000', 'Tharry0', 'probablytom', 'apropos0']",2664
13,James,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,08:42.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
14,KingCheese,1,1,0,1,1001,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 1, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 1, 'A': 1, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,60,50:37.3,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 60, 0, 40, 1, 1, 57, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,10
15,Luca1802,410,229,181,0.558536585,968.095122,"[None, None, None, None, None]","{'K': 85, 'A': 10, 'R': 36, 'H': 10, 'W': 19, 'B': 165, 'M': 25, 'G': 108}","{'K': 147, 'A': 22, 'R': 78, 'H': 17, 'W': 44, 'B': 273, 'M': 49, 'G': 188}",TRUE,11810,29:29.5,"[20, 85, 5, 10, 61, 36, 7, 10, 28, 19, 208, 165, 14, 25, 66, 108, 1093, 12, 3, 11810, 2782, 1174, 10, 0, 98, 17, 409, 273, 48, 38, 229, 42, 2, 468, 17, 9, 119, 1, 5, 4, 16, 9515, 2768, 6416, 0, 0, 0, 0, 0, 0]",2088.787123,"['BestWilliam', 'CalHaribo', 'BestWilliam', 'BestWilliam', 'Jamie', 'creilly2', 'rocinante', 'Jamie', 'Paddy', 'Manakish', 'creilly1', 'creilly1', 'creilly2', 'basta', 'basta', 'basta', 'deathseeker', 'basta', 'Silver', 'basta', 'creilly1', 'BetterThanU', 'BetterThanU', 'Tharry0', 'Martin', 'Martin', 'Martin', 'Nari', 'elennon', 'chins', 'cptKav', 'Nari', 'timri', 'Nari', 'Beccccca', 'Beccccca', 'timri', 'timri', 'timri', 'DX13', 'timri', 'l17r', 'l17r', 'l17r', 'l17r', 'l17r', 'l17r', 'Frp97', 'Frp97', 'l17r', 'l17r', 'timri', 'timri', 'timri', 'alan', 'Lotua', 'Deanerbeck', 'Beccccca', 'apropos0', 'Beccccca', 'Lotua']",9510
16,Beth,139,65,74,0.467625899,951.6043165,"['none', 'none', 'none', 'none', 'none']","{'K': 25, 'A': 14, 'R': 25, 'H': 3, 'W': 9, 'B': 26, 'M': 6, 'G': 22}","{'K': 45, 'A': 34, 'R': 55, 'H': 8, 'W': 27, 'B': 42, 'M': 15, 'G': 46}",FALSE,3403,26:38.7,"[21, 25, 11, 14, 40, 25, 6, 3, 14, 9, 21, 26, 5, 6, 18, 22, 418, 5, 1, 3403, 3184, 1302, 6, 0, 94, 8, 136, 55, 14, 5, 65, 82, 14, 4, 4, 0, 32, 1, 7, 4, 14, 1707, 1754, 693, 0, 0, 0, 0, 0, 0]",1556.556783,"['Etess', 'ECDr', 'Alliyana', 'asdf', 'Etess', 'Jamie', 'Etess', 'cwallis', 'Jamie', 'Luca1802', 'sstein', 'cwallis', 'Damian', 'timri', 'sophie', 'sophie', 'walshy1066', 'tickler', 'V4ssilios', 'V4ssilios', 'basta', 'Frp97', 'l17r', 'l17r', 'l17r', 'basta', 'basta', 'Beccccca', 'basta', 'probablytom', 'basta', 'Beccccca', 'Frp97', 'Frp97', 'probablytom', 'aaaa', 'aaaa', 'Frp97', 'l17r']",1707
17,Mati,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,27:52.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
18,alan,138,57,81,0.413043478,928.4565217,"[None, None, None, None, None]","{'K': 15, 'A': 19, 'R': 35, 'H': 2, 'W': 1, 'B': 5, 'M': 31, 'G': 6}","{'K': 32, 'A': 58, 'R': 74, 'H': 4, 'W': 9, 'B': 16, 'M': 73, 'G': 10}",TRUE,3927,32:29.0,"[4, 15, 9, 19, 38, 35, 3, 2, 3, 1, 14, 5, 59, 31, 8, 6, 138, 9, 3, 3927, 2965, 584, 4, 0, 93, 4, 138, 74, 15, 7, 57, 1, 0, 239, 1, 44, 26, 1, 5, 1, 1, 2633, 8595, 31, 0, 0, 0, 0, 0, 0]",-730.1783421,"['BestWilliam', 'BestWilliam', 'Super_Ia', 'Ellen', 'Gerr', 'Paulverise', 'cptKav', 'sidb', 'cptKav', 'cptKav', 'kubajj', 'Jamie', 'whiplash', 'Jamie', 'norgart', 'sophie', 'OKaemii', 'Sidthesloth', 'norgart', 'creilly1', 'Nonni', 'Nonni', 'Fbomb', 'Nonni', 'charlotte', 'georgedo', 'DavetheRave', 'Fbomb', 'Jules', 'chins', 'Ellen', 'Andy', 'Deanerbeck', 'eggface', 'Ezzey', 'timri', 'Nari', 'apropos0', 'DX13', 'Deanerbeck', 'Deanerbeck', 'ECDr', 'vinl', 'apropos0', 'apropos0', 'apropos0', 'Deanerbeck', 'apropos0', 'probablytom', 'l17r', 'Deanerbeck', 'Luca1802', 'Luca1802', 'Luca1802', 'Lotua']",2633
19,CPTH,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,10,32:26.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
20,BenL98,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,21:27.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
21,Mageofheart,36,14,22,0.388888889,978.5555556,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 3, 'R': 0, 'H': 10, 'W': 0, 'B': 1, 'M': 5, 'G': 8}","{'K': 3, 'A': 7, 'R': 2, 'H': 26, 'W': 2, 'B': 2, 'M': 11, 'G': 19}",FALSE,450,36:14.4,"[1, 1, 4, 3, 1, 0, 19, 10, 0, 0, 1, 1, 5, 5, 5, 8, 123, 0, 0, 475, 429, 126, 4, 0, 90, 2, 36, 26, 4, 0, 14, 4, 2, 34, 1, 0, 5, 1, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1173.963271,"['Luca1802', 'demander', 'Beth', 'Ellen', 'Luca1802', 'BestWilliam', 'BestWilliam', 'BestWilliam', 'BestWilliam', 'alan', 'BestWilliam', 'Ellen', 'Etess', 'DoctorW', 'pool27', 'Etess', 'apropos0']",0
22,demander,38,14,24,0.368421053,974.8421053,"['none', 'none', 'none', 'none', 'none']","{'K': 2, 'A': 1, 'R': 10, 'H': 7, 'W': 2, 'B': 1, 'M': 3, 'G': 2}","{'K': 5, 'A': 4, 'R': 23, 'H': 10, 'W': 7, 'B': 5, 'M': 14, 'G': 8}",TRUE,735,27:16.8,"[1, 2, 3, 1, 18, 10, 4, 7, 5, 2, 2, 1, 2, 3, 3, 2, 156, 0, 1, 744, 2423, 481, 3, 0, 88, 4, 38, 23, 4, 1, 14, 0, 5, 24, 1, 0, 5, 1, 4, 3, 5, 120, 0, 0, 0, 0, 0, 0, 0, 0]",1087.899266,"['BestWilliam', 'Etess', 'Super_Ia', 'Ellen', 'Ellen', 'alan', 'sidb', 'creilly1', 'apropos0', 'cwallis', 'bladestoe', 'Jamie', 'creilly1', 'cwallis', 'Jamie', 'Beth', 'Beth', 'Beth', 'Beth']",111
23,Marta,55,23,32,0.418181818,972.3818182,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 10, 'R': 1, 'H': 6, 'W': 0, 'B': 10, 'M': 13, 'G': 6}","{'K': 3, 'A': 19, 'R': 5, 'H': 11, 'W': 6, 'B': 20, 'M': 30, 'G': 16}",TRUE,1014,38:43.1,"[1, 0, 9, 10, 3, 1, 10, 6, 3, 0, 14, 10, 3, 13, 12, 6, 154, 0, 1, 1019, 1989, 611, 4, 0, 88, 3, 55, 30, 5, 1, 23, 0, 0, 55, 3, 2, 4, 1, 5, 4, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0]",1039.435652,"['CalHaribo', 'demander', 'CalHaribo', 'Mageofheart', 'probablytom', 'alan', 'Jules_217', 'georgedo', 'Etess', 'CalHaribo', 'LewisDyer', 'cptKav', 'sidb', 'Luca1802', 'probablytom', 'Sabotage', 'Elessar', 'alan', 'l17r', 'georgedo', 'Jamie', 'alan', 'totem37', 'creilly1', 'Deanerbeck', 'cptKav', 'basta', 'eggface']",25
24,Gerr,36,19,17,0.527777778,993.9722222,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 4, 'R': 14, 'H': 4, 'W': 12, 'B': 1, 'M': 3, 'G': 0}","{'K': 1, 'A': 5, 'R': 27, 'H': 9, 'W': 23, 'B': 1, 'M': 6, 'G': 0}",TRUE,937,45:30.6,"[1, 0, 1, 4, 15, 14, 8, 4, 9, 12, 0, 1, 2, 3, 0, 0, 65, 0, 1, 937, 1418, 334, 3, 1, 92, 0, 36, 27, 6, 0, 19, 10, 3, 15, 9, 21, 3, 1, 3, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1176.356684,"['demander', 'cats', 'cats', 'cptKav', 'cats', 'cats', 'georgedo', 'probablytom', 'Sabotage', 'cats', 'georgedo', 'probablyrob', 'Beth', 'Ellen']",10
