,Username,Played,Won,losses,winrate,newmmr,Games,count_character_has_won,count_character_has_been_played,accepting_games,skill_points,last_logged_in,badge_progressions,elo,lost_against,current_season_skill
93,Nari,474,244,230,0.514767932,902.3966245,"[None, 'none', 'none', 'none', 'none']","{'K': 67, 'A': 13, 'R': 122, 'H': 41, 'W': 10, 'B': 29, 'M': 18, 'G': 188}","{'K': 134, 'A': 43, 'R': 203, 'H': 82, 'W': 25, 'B': 64, 'M': 38, 'G': 345}",TRUE,9660,11:58.0,"[3, 67, 41, 13, 36, 122, 79, 41, 16, 10, 16, 29, 3, 18, 273, 188, 549, 1, 1, 9660, 2226, 2784, 10, 0, 99, 25, 467, 345, 65, 13, 244, 2, 5, 536, 2, 260, 146, 1, 11, 0, 0, 6360, 1139, 4803, 0, 0, 0, 0, 0, 0]",-377.4377675,"['EarlofSurl', 'ruadh_mor', 'Etess', 'bladestoe', 'kubajj', 'charlotte', 'pool27', 'totem37', 'jonildo', 'DoctorW', 'Manakish', 'norgart', 'tanini', 'Fbomb', 'Sidthesloth', 'Paddy', 'walshy1066', 'sophie', 'creilly1', 'basta', 'sstein', 'creilly1', 'sstein', 'sstein', 'georgedo', 'Master4444', 'Significance', 'dalinar', 'Jhannah', 'alcam456', 'alcam456', 'georgedo', 'jaymoney', 'probablytom', 'Tharry0', 'alcam456', 'Andy', 'cptKav', 'cptKav', 'jaymoney', 'cptKav', 'jaymoney', 'timri', 'alan', 'sstein', 'Andy', 'Ezzey', 'timri', 'Frp97', 'cptKav', 'DavetheRave', 'Martin', 'timri', 'elennon', 'cptKav', 'Martin', 'Martin', 'Ellen', 'Ellen', 'Martin', 'Martin', 'Ellen', 'Martin', 'l17r', 'elennon', 'ECDr', 'ECDr', 'DX13', 'Ellen', 'elennon', 'dalinar', 'Deanerbeck', 'l17r', 'Beccccca', 'l17r', 'Beccccca', 'ECDr']",6360
94,tanini,306,160,146,0.522875817,944.3398693,"['none', 'none', 'none', 'none', 'none']","{'K': 2, 'A': 0, 'R': 94, 'H': 26, 'W': 20, 'B': 73, 'M': 78, 'G': 27}","{'K': 3, 'A': 7, 'R': 167, 'H': 50, 'W': 48, 'B': 148, 'M': 142, 'G': 47}",TRUE,4418,48:30.3,"[2, 2, 3, 0, 145, 94, 39, 26, 13, 20, 53, 73, 27, 78, 24, 27, 1435, 2, 1, 4418, 934, 3865, 10, 2, 99, 3, 306, 167, 54, 7, 160, 26, 10, 162, 0, 353, 82, 1, 8, 0, 1, 336, 1184, 0, 0, 0, 0, 0, 0, 0]",1213.027657,"['Nari', 'Sabotage', 'Nari', 'Nari', 'walshy1066', 'Ellen', 'Etess', 'Ellen', 'cwallis', 'charlotte', 'sstein', 'creilly1', 'probablytom', 'creilly1', 'rocinante', 'Deanerbeck', 'Deanerbeck', 'Deanerbeck', 'Deanerbeck', 'Deanerbeck', 'dalinar', 'dalinar', 'dalinar', 'dalinar', 'dalinar', 'dalinar', 'creilly2', 'creilly2', 'creilly2', 'basta', 'Frp97', 'creilly2', 'creilly2', 'creilly2', 'creilly2', 'creilly2', 'creilly2', 'creilly1', 'elennon', 'OKaemii', 'creilly1', 'Luca1802', 'elennon', 'DoctorW', 'DoctorW', 'Nari', 'Paddy', 'Manakish', 'Fbomb', 'dalinar', 'creilly2', 'creilly1', 'creilly2', 'creilly2', 'creilly2', 'l17r', 'creilly2', 'creilly2', 'creilly1', 'dalinar', 'creilly2', 'Paddy', 'dalinar', 'basta']",336
95,dalinar,153,74,79,0.483660131,954.2091503,"['none', 'none', 'none', 'none', 'none']","{'K': 16, 'A': 24, 'R': 34, 'H': 1, 'W': 9, 'B': 31, 'M': 11, 'G': 22}","{'K': 39, 'A': 50, 'R': 76, 'H': 4, 'W': 24, 'B': 52, 'M': 19, 'G': 42}",TRUE,4621,55:12.1,"[29, 16, 13, 24, 43, 34, 3, 1, 9, 9, 24, 31, 9, 11, 23, 22, 290, 20, 1, 4621, 2830, 1148, 4, 1, 95, 4, 153, 76, 19, 7, 74, 8, 19, 147, 0, 110, 39, 1, 7, 0, 1, 2978, 4627, 484, 0, 0, 0, 0, 0, 0]",1242.609585,"['Sabotage', 'Etess', 'Sabotage', 'Fbomb', 'walshy1066', 'Frp97', 'Sabotage', 'walshy1066', 'Manakish', 'georgedo', 'sstein', 'walshy1066', 'rocinante', 'tanini', 'basta', 'georgedo', 'alcam456', 'sophie', 'elennon', 'Apollogize', 'ECDr', 'georgedo', 'MhairiM', 'apropos0', 'ECDr', 'BerrySauce', 'apropos0', 'l17r', 'apropos0', 'ECDr', 'ECDr', 'Deanerbeck', 'Luca1802', 'timri', 'Deanerbeck', 'apropos0', 'DavetheRave', 'Luca1802', 'DavetheRave', 'alan']",2978
96,Tamara,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,40:23.3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
97,ice_slayer7,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,43:21.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
98,l17r,906,405,501,0.447019868,626.9569536,"[None, None, None, None, None]","{'K': 1, 'A': 332, 'R': 317, 'H': 10, 'W': 1, 'B': 73, 'M': 75, 'G': 1}","{'K': 3, 'A': 766, 'R': 747, 'H': 14, 'W': 6, 'B': 132, 'M': 137, 'G': 1}",TRUE,15234,37:15.0,"[0, 1, 3, 332, 746, 317, 13, 10, 5, 1, 131, 73, 4, 75, 1, 1, 520, 0, 1, 15234, 2472, 2142, 10, 2, 99, 1, 903, 766, 90, 23, 405, 396, 9, 516, 37, 13, 302, 1, 13, 1, 409, 11642, 1150, 7567, 0, 0, 0, 0, 0, 0]",-11686.34506,"['Shanys', 'EarlofSurl', 'CalHaribo', 'Mando', 'Sidthesloth', 'tanini', 'cwallis', 'Sidthesloth', 'creilly2', 'Fbomb', 'Sidthesloth', 'walshy1066', 'Paddy', 'georgedo', 'Fbomb', 'creilly2', 'Paddy', 'Fbomb', 'sophie', 'DoctorW', 'elennon', 'sstein', 'sophie', 'alcam456', 'Baepsae', 'Tharry0', 'sstein', 'walshy1066', 'basta', 'basta', 'sstein', 'basta', 'basta', 'Andy', 'eggface', 'georgedo', 'sstein', 'sstein', 'Ezzey', 'creilly1', 'basta', 'creilly1', 'elennon', 'chins', 'elennon', 'Martin', 'cptKav', 'Nari', 'timri', 'timri', 'Beccccca', 'timri', 'DavetheRave', 'timri', 'timri', 'Nari', 'cptKav', 'dalinar', 'Frp97', 'Frp97', 'ECDr', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'timri', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Deanerbeck', 'Frp97', 'timri', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Deanerbeck', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Deanerbeck', 'Deanerbeck', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'apropos0', 'timri', 'apropos0', 'apropos0', 'Frp97', 'Frp97', 'apropos0', 'apropos0', 'apropos0', 'Frp97', 'Frp97', 'apropos0', 'apropos0', 'apropos0', 'apropos0', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'apropos0', 'apropos0', 'apropos0', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'apropos0', 'Frp97', 'apropos0', 'Frp97', 'apropos0', 'Frp97', 'apropos0', 'apropos0', 'Frp97', 'Frp97', 'Luca1802', 'apropos0', 'Luca1802', 'Frp97', 'apropos0', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'apropos0', 'Frp97', 'Frp97', 'Luca1802', 'Deanerbeck', 'Frp97', 'apropos0', 'Frp97', 'Deanerbeck', 'Deanerbeck', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'Frp97', 'apropos0', 'Frp97', 'Frp97', 'apropos0', 'Frp97', 'Frp97', 'Deanerbeck', 'Frp97', 'apropos0', 'Luca1802', 'Frp97', 'apropos0', 'Frp97', 'Frp97', 'apropos0', 'Frp97', 'Frp97', 'Frp97', 'apropos0', 'apropos0', 'Frp97', 'apropos0', 'Frp97', 'apropos0', 'apropos0', 'apropos0', 'Frp97']",11642
99,astrospanner,11,6,5,0.545454545,998.7272727,"['none', 'none', 'none', 'none', 'none']","{'K': 2, 'A': 6, 'R': 3, 'H': 0, 'W': 1, 'B': 0, 'M': 0, 'G': 0}","{'K': 2, 'A': 11, 'R': 5, 'H': 3, 'W': 1, 'B': 0, 'M': 0, 'G': 0}",TRUE,320,49:10.1,"[1, 2, 4, 6, 3, 3, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 43, 0, 1, 320, 1255, 164, 3, 3, 70, 0, 11, 11, 1, 0, 6, 0, 0, 13, 0, 0, 2, 0, 3, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0]",1150.234019,"['l17r', 'l17r', 'timri']",50
100,ruadh_beag,4,1,3,0.25,995.75,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 0, 'R': 0, 'H': 1, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 4, 'A': 0, 'R': 0, 'H': 4, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,73,02:55.9,"[0, 1, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 79, 698, 0, 1, 0, 58, 0, 4, 4, 0, 0, 1, 1, 2, 7, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1190.192641,"['bladestoe', 'Alliyana']",0
101,timri,429,242,187,0.564102564,973.4871795,"['none', 'none', 'none', 'none', 'none']","{'K': 34, 'A': 9, 'R': 2, 'H': 33, 'W': 14, 'B': 189, 'M': 0, 'G': 203}","{'K': 67, 'A': 20, 'R': 3, 'H': 66, 'W': 27, 'B': 319, 'M': 2, 'G': 348}",TRUE,11109,03:12.5,"[3, 34, 11, 9, 3, 2, 66, 33, 24, 14, 317, 189, 0, 0, 2, 203, 458, 4, 2, 11109, 2626, 2193, 13, 2, 98, 2, 426, 348, 52, 41, 242, 165, 32, 304, 6, 59, 118, 1, 6, 0, 68, 7909, 3580, 7469, 0, 0, 0, 0, 0, 0]",3646.601009,"['Paddy', 'versatile', 'asdf', 'Sabotage', 'whiplash', 'probablyrob', 'Sabotage', 'pool27', 'probablytom', 'pool27', 'pool27', 'kubajj', 'Jamie', 'probablytom', 'Nonni', 'Sabotage', 'Paddy', 'Paddy', 'creilly2', 'demander', 'creilly2', 'basta', 'Apollogize', 'alan', 'tanini', 'jaymoney', 'sstein', 'Ezzey', 'ECDr', 'Ezzey', 'eggface', 'georgedo', 'sstein', 'Martin', 'sstein', 'ECDr', 'basta', 'Ezzey', 'Nari', 'Nari', 'Nari', 'Nari', 'ECDr', 'Deanerbeck', 'cptKav', 'chins', 'Deanerbeck', 'apropos0', 'apropos0', 'ECDr', 'Deanerbeck', 'Frp97', 'Deanerbeck', 'probablytom', 'probablytom', 'Frp97', 'Frp97', 'Frp97', 'probablytom', 'apropos0', 'Frp97', 'Deanerbeck', 'DX13', 'DX13', 'Frp97', 'Frp97']",7909
102,rosscee98,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,35:17.3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
