,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2
5884,1.2,15558,10151,10151,0.597325409,0.49479166700000005
5885,1.2,7227,1738,7227,0.533333333,0.46666666700000003
5886,1.2,11810,15234,11810,0.637096774,0.42281879200000005
5887,1.2,11109,15558,11109,0.586750789,0.597325409
5888,1.2,9660,13656,9660,0.613095238,0.47552447600000003
5889,1.2,7227,2524,2524,0.25,0.4
5890,1.2,15234,15558,15234,0.42281879200000005,0.597325409
5891,1.2,5635,9660,9660,0.435483871,0.613095238
5892,1.2,7227,16524,16524,0.571428571,0.569014085
5893,1.2,7227,1738,7227,0.666666667,0.25
5894,1.2,2524,1738,2524,0.4,0.5
5895,1.2,8524,4621,4621,0.487179487,0.333333333
5896,1.2,9660,16524,9660,0.613095238,0.508038585
5897,1.2,1738,7227,7227,0.25,0.571428571
5898,1.2,10289,7227,7227,0.5412621360000001,0.8
5899,1.2,5635,15558,15558,0.435483871,0.597325409
5900,1.2,8606,13656,8606,0.46153846200000004,0.47552447600000003
5901,1.2,16524,13656,13656,0.508038585,0.47552447600000003
5902,1.2,9660,10151,10151,0.613095238,0.49479166700000005
5903,1.2,9660,16524,9660,0.613095238,0.569014085
5904,1.2,13656,16524,13656,0.47552447600000003,0.508038585
5905,1.2,16524,9660,16524,0.569014085,0.613095238
5906,1.2,13656,9660,9660,0.47552447600000003,0.613095238
5907,1.2,16524,9660,9660,0.569014085,0.613095238
5908,1.2,9660,13656,13656,0.613095238,0.363636364
5909,1.2,16524,13656,16524,0.569014085,0.23809523800000001
5910,1.2,13656,7227,13656,0.47552447600000003,0.567567568
5911,1.2,5635,13656,13656,0.435483871,0.47552447600000003
5912,1.2,3373,5635,5635,0.473684211,0.435483871
5913,1.2,3373,8606,8606,0.473684211,0.666666667
5914,1.2,16524,9660,9660,0.569014085,0.613095238
5915,1.2,15234,10289,10289,0.42281879200000005,0.5412621360000001
5916,1.2,5635,1738,1738,0.435483871,0.46666666700000003
5917,1.2,13656,9660,9660,0.23809523800000001,0.613095238
5918,1.2,7227,15558,15558,0.25,0.597325409
5919,1.2,15234,15558,15558,0.42281879200000005,0.597325409
5920,1.2,15234,15558,15558,0.42281879200000005,0.597325409
5921,1.2,3373,9660,9660,0.473684211,0.613095238
5922,1.2,11810,10151,10151,0.637096774,0.49479166700000005
5923,1.2,7227,10151,10151,0.571428571,0.49479166700000005
5924,1.2,15234,11810,11810,0.42281879200000005,0.637096774
5925,1.2,13656,9660,9660,0.47552447600000003,0.613095238
5926,1.2,16524,7227,16524,0.508038585,0.43243243200000003
5927,1.2,13656,16524,16524,0.47552447600000003,0.569014085
5928,1.2,10289,5635,10289,0.5412621360000001,0.333333333
5929,1.2,16524,13656,16524,0.569014085,0.47552447600000003
5930,1.2,9660,10289,9660,0.613095238,0.5412621360000001
5931,1.2,9660,13656,13656,0.613095238,0.47552447600000003
5932,1.2,13656,16524,13656,0.47552447600000003,0.508038585
5933,1.2,10289,16524,10289,0.5412621360000001,0.508038585
5934,1.2,13656,10289,13656,0.47552447600000003,0.5412621360000001
5935,1.2,13656,16524,13656,0.485436893,0.569014085
5936,1.2,16524,5635,5635,0.569014085,0.435483871
5937,1.2,7227,15558,15558,0.0,0.597325409
5938,1.2,10289,16524,10289,0.5412621360000001,0.508038585
5939,1.2,7227,10289,10289,0.571428571,0.5412621360000001
5940,1.2,15234,15558,15558,0.42281879200000005,0.597325409
5941,1.2,9660,11109,9660,0.613095238,0.586750789
5942,1.2,4983,11109,11109,0.666666667,0.586750789
5943,1.2,5635,10151,5635,0.435483871,0.49479166700000005
5944,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
5945,1.2,15234,15558,15234,0.42281879200000005,0.597325409
5946,1.2,5635,7227,5635,0.435483871,0.571428571
5947,1.2,3373,11810,3373,0.473684211,0.473684211
5948,1.2,16524,13656,16524,0.508038585,0.23809523800000001
5949,1.2,13656,7227,13656,0.47552447600000003,0.567567568
5950,1.2,13656,11810,11810,0.47552447600000003,0.637096774
5951,1.2,13656,10289,10289,0.47552447600000003,0.5412621360000001
5952,1.2,13656,11810,11810,0.23809523800000001,0.637096774
5953,1.2,11810,5635,11810,0.637096774,0.435483871
5954,1.2,13656,7227,7227,0.47552447600000003,0.43243243200000003
5955,1.2,8606,11109,11109,0.36842105299999994,0.586750789
5956,1.2,8606,11109,11109,0.666666667,0.586750789
5957,1.2,10289,16524,10289,0.5412621360000001,0.457142857
5958,1.2,10289,13656,10289,0.5412621360000001,0.23809523800000001
5959,1.2,10289,15234,15234,0.5412621360000001,0.42281879200000005
5960,1.2,10289,8606,10289,0.5412621360000001,0.444444444
5961,1.2,13656,8606,8606,0.47552447600000003,0.666666667
5962,1.2,16524,11810,16524,0.569014085,0.637096774
5963,1.2,11810,15234,11810,0.637096774,0.42281879200000005
5964,1.2,11810,15558,11810,0.637096774,0.597325409
5965,1.2,11810,10151,11810,0.637096774,0.49479166700000005
5966,1.2,4621,1738,1738,0.615384615,0.5
5967,1.2,9660,3373,3373,0.613095238,0.473684211
5968,1.2,11810,16524,11810,0.637096774,0.28571428600000004
5969,1.2,7227,1047,7227,0.571428571,0.5
5970,1.2,15558,2524,2524,0.597325409,0.4
5971,1.2,16524,10289,10289,0.484848485,0.5412621360000001
5972,1.2,13656,15234,13656,0.47552447600000003,0.42281879200000005
5973,1.2,9660,7227,9660,0.613095238,0.533333333
5974,1.2,7227,15558,15558,0.43243243200000003,0.597325409
5975,1.2,15234,10151,10151,0.42281879200000005,0.49479166700000005
5976,1.2,3373,9660,9660,0.473684211,0.613095238
5977,1.2,11810,10289,11810,0.637096774,0.5412621360000001
5978,1.2,13656,7227,13656,0.47552447600000003,0.43243243200000003
5979,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
5980,1.2,5635,15558,5635,0.435483871,0.597325409
5981,1.2,15234,15558,15234,0.42281879200000005,0.597325409
5982,1.2,13656,7227,13656,0.47552447600000003,0.571428571
5983,1.2,16524,7227,7227,0.457142857,0.571428571
5984,1.2,16524,7227,16524,0.508038585,0.567567568
5985,1.2,9660,16524,9660,0.613095238,0.508038585
5986,1.2,9660,10289,10289,0.613095238,0.5412621360000001
5987,1.2,16524,10289,16524,0.508038585,0.5412621360000001
5988,1.2,10289,16524,10289,0.5412621360000001,0.484848485
5989,1.2,10289,16524,16524,0.5412621360000001,0.484848485
5990,1.2,10289,16524,10289,0.5412621360000001,0.484848485
5991,1.2,16524,10289,10289,0.484848485,0.5412621360000001
5992,1.2,10289,16524,10289,0.5412621360000001,0.484848485
5993,1.2,10289,16524,10289,0.5412621360000001,0.484848485
5994,1.2,10151,3373,3373,0.49479166700000005,0.473684211
5995,1.2,10151,1738,1738,0.49479166700000005,0.428571429
5996,1.2,10289,16524,10289,0.5412621360000001,0.457142857
5997,1.2,7227,16524,7227,0.41176470600000004,0.569014085
5998,1.2,16524,10289,16524,0.333333333,0.5412621360000001
5999,1.2,7227,16524,16524,0.46666666700000003,0.569014085
6000,1.2,7227,16524,7227,0.567567568,0.333333333
6001,1.2,16524,7227,7227,0.333333333,0.571428571
6002,1.2,16524,7227,16524,0.428571429,0.375
6003,1.2,16524,7227,7227,0.508038585,0.41176470600000004
6004,1.2,16524,7227,16524,0.508038585,0.43243243200000003
6005,1.2,16524,7227,7227,0.508038585,0.571428571
6006,1.2,16524,7227,7227,0.508038585,0.8
6007,1.2,16524,7227,16524,0.569014085,0.25
6008,1.2,16524,7227,16524,0.508038585,0.567567568
6009,1.2,7227,16524,7227,0.533333333,0.569014085
6010,1.2,16524,7227,7227,0.508038585,0.567567568
6011,1.2,16524,7227,7227,0.508038585,0.571428571
6012,1.2,7227,16524,16524,0.333333333,0.457142857
6013,1.2,16524,7227,7227,0.508038585,0.567567568
6014,1.2,8606,5635,8606,0.5,0.333333333
6015,1.2,11810,9660,11810,0.637096774,0.613095238
6016,1.2,5635,10151,5635,0.435483871,0.49479166700000005
