,Username,Played,Won,tag_bg,Games,count_character_has_won,count_character_has_been_played,accepting_games,skill_points,last_logged_in,badge_progressions,elo,lost_against,current_season_skill,win_rate,Knight_played,Archer_played,Rogue_played,Healer_played,Wizard_played,Barbarian_played,Monk_played,Gunner_played,Knight_win,Archer_win,Rogue_win,Healer_win,Wizard_win,Barbarian_win,Monk_win,Gunner_win
10,TheMaster,16,11,cosmic,"['none', 'none', 'none', None, 'none']","{'K': 3, 'A': 8, 'R': 2, 'H': 9, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 4, 'A': 11, 'R': 3, 'H': 12, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,666,2020-09-06 06:25:25.053000,"[3, 3, 9, 8, 2, 2, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 1, 627, 1179, 477, 10, 0, 85, 0, 15, 12, 3, 0, 11, 15, 17, 14, 9, 0, 1, 0, 2, 2, 4, 150, 0, 0, 0, 0, 0, 0, 0, 0]",997.3453557139201,"['creilly1', 'aaaa', 'Nari']",189,68.75,4,11,3,12,0,0,0,0,3,8,2,9,0,0,0,0
11,Finlad,25,17,orange,"['none', 'none', 'none', 'none', None]","{'K': 1, 'A': 7, 'R': 8, 'H': 4, 'W': 4, 'B': 0, 'M': 6, 'G': 4}","{'K': 1, 'A': 10, 'R': 12, 'H': 5, 'W': 8, 'B': 1, 'M': 6, 'G': 5}",True,782,2020-05-27 10:33:13.252000,"[0, 1, 7, 7, 4, 8, 2, 4, 7, 4, 0, 0, 4, 6, 0, 4, 112, 1, 1, 782, 0, 0, 4, 0, 81, 1, 24, 12, 3, 0, 17, 0, 1, 27, 1, 4, 3, 1, 3, 1, 7, 744, 611, 648, 0, 0, 0, 0, 0, 0]",1630.4198598305982,"['Fudgewolf', 'Jhannah', 'Jhannah', 'Andy']",744,68.0,1,10,12,5,8,1,6,5,1,7,8,4,4,0,6,4
12,Hippodoodle,3,2,green,"['none', 'none', 'none', 'none', 'none']","{'K': 2, 'A': 2, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 3, 'A': 3, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,194,2020-05-22 11:00:40.700000,"[0, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 194, 0, 0, 1, 1, 63, 0, 3, 3, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 194, 701, 0, 0, 0, 0, 0, 0, 0]",1256.3676927897386,['Apollogize'],194,66.66666666666666,3,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0
13,stru,3,2,blue,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 2, 'R': 1, 'H': 1, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 1, 'A': 2, 'R': 2, 'H': 1, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,81,2020-05-14 16:07:56.011000,"[0, 0, 1, 2, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 81, 0, 0, 2, 2, 55, 0, 3, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 0, 1, 0, 3, 81, 78, 40, 0, 0, 0, 0, 0, 0]",1181.3872903246165,[],81,66.66666666666666,1,2,2,1,0,0,0,0,0,2,1,1,0,0,0,0
14,cute320215,9,6,orange,"['none', 'none', 'none', 'none', 'none']","{'K': 6, 'A': 0, 'R': 5, 'H': 1, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 8, 'A': 1, 'R': 8, 'H': 1, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,472,2020-07-15 16:30:32.693000,"[3, 6, 0, 0, 5, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 472, 2829, 83, 4, 0, 76, 0, 9, 8, 2, 0, 6, 3, 1, 14, 0, 4, 1, 0, 2, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1213.3356119070813,"['LewisDyer', 'CalHaribo']",10,66.66666666666666,8,1,8,1,0,0,0,0,6,0,5,1,0,0,0,0
15,Damian,3,2,green,"['none', 'none', 'none', 'none', 'none']","{'K': 2, 'A': 2, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 3, 'A': 2, 'R': 1, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,150,2020-06-09 05:23:47.175000,"[1, 2, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 150, 1380, 0, 2, 2, 62, 0, 3, 3, 0, 0, 2, 2, 1, 12, 2, 0, 0, 0, 1, 0, 1, 40, 0, 0, 0, 0, 0, 0, 0, 0]",1110.9784602384157,['jack'],40,66.66666666666666,3,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0
16,Silver,17,11,blue,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 9, 'R': 3, 'H': 1, 'W': 4, 'B': 2, 'M': 1, 'G': 1}","{'K': 2, 'A': 11, 'R': 6, 'H': 1, 'W': 6, 'B': 4, 'M': 3, 'G': 1}",True,453,2020-05-07 20:38:21.699000,"[0, 1, 9, 9, 4, 3, 0, 1, 1, 4, 2, 2, 1, 1, 0, 1, 41, 0, 1, 462, 0, 0, 7, 0, 69, 1, 17, 11, 4, 2, 11, 2, 1, 16, 0, 0, 1, 1, 3, 1, 1, 462, 766, 275, 0, 0, 0, 0, 0, 0]",1207.505278448057,"['Frp97', 'apropos0', 'Frp97', 'cptKav', 'Nari']",453,64.70588235294117,2,11,6,1,6,4,3,1,1,9,3,1,4,2,1,1
17,BestWilliam,50,32,cosmic,"['none', 'none', 'none', 'none', 'none']","{'K': 19, 'A': 1, 'R': 24, 'H': 3, 'W': 10, 'B': 3, 'M': 3, 'G': 1}","{'K': 28, 'A': 2, 'R': 39, 'H': 5, 'W': 15, 'B': 3, 'M': 3, 'G': 1}",True,1131,2020-04-08 09:18:38.737000,"[10, 19, 0, 1, 28, 24, 4, 3, 4, 10, 1, 3, 1, 3, 0, 1, 174, 0, 0, 1131, 55, 1001, 9, 3, 100, 1, 48, 39, 14, 2, 32, 13, 1, 41, 0, 0, 13, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1262.8011080415736,"['Ellen', 'Ellen', 'Ellen']",0,64.0,28,2,39,5,15,3,3,1,19,1,24,3,10,3,3,1
18,MarkyMark74,5,3,purple,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 1, 'R': 2, 'H': 2, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 2, 'A': 3, 'R': 3, 'H': 2, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",False,124,2020-04-13 06:35:01.201000,"[0, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 125, 1290, 80, 2, 0, 66, 0, 5, 3, 1, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1205.2764502636276,"['cwallis', 'yasmin_f']",0,60.0,2,3,3,2,0,0,0,0,1,1,2,2,0,0,0,0
19,SGUNNER07,5,3,purple,"['none', 'none', None, 'none', 'none']","{'K': 1, 'A': 2, 'R': 0, 'H': 3, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 1, 'A': 2, 'R': 2, 'H': 5, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,103,2020-05-14 15:16:05.552000,"[1, 1, 0, 2, 2, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 112, 0, 0, 2, 0, 60, 0, 5, 5, 1, 0, 3, 2, 1, 3, 1, 0, 1, 0, 1, 1, 3, 112, 28, 71, 0, 0, 0, 0, 0, 0]",1214.7716995447954,['Finlad'],103,60.0,1,2,2,5,0,0,0,0,1,2,0,3,0,0,0,0
