,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
5750,1.2,796.3225806,826.9859438,796.3225806,0.475524476,0.368421053,0.306650246,0.083128079,27,1,1
5751,1.2,826.9859438,829.2739044,826.9859438,0.357142857,0.457142857,1,0.215517241,17,14,1
5752,1.2,626.9569536,1002.710526,626.9569536,0.422818792,0.569620253,0.794334975,0.756157635,5,16,1
5753,1.2,973.4871795,827.5,827.5,0.586750789,0.494791667,0.980295567,0.980295567,7,7,2
5754,1.2,973.4871795,829.2739044,973.4871795,0.586750789,0.508038585,0.980295567,0.756157635,7,16,1
5755,1.2,948.7126437,1012.067843,948.7126437,0.5,0.597325409,0.233990148,0.980295567,15,7,1
5756,1.2,1012.067843,827.5,827.5,0.597325409,0.494791667,0.980295567,0.980295567,7,7,2
5757,1.2,626.9569536,1012.067843,1012.067843,0.422818792,0.597325409,0.794334975,0.980295567,5,7,2
5758,1.2,826.9859438,829.2739044,829.2739044,0.357142857,0.569014085,0.014778325,1,4,17,2
5759,1.2,626.9569536,826.9859438,626.9569536,0.422818792,0.357142857,0.794334975,1,5,17,1
5760,1.2,968.095122,1012.067843,1012.067843,0.409090909,0.597325409,1,0.980295567,17,7,2
5761,1.2,626.9569536,968.095122,626.9569536,0.422818792,0.409090909,0.794334975,1,5,17,1
5762,1.2,829.2739044,796.3225806,796.3225806,0.508038585,0.475524476,0.756157635,0.306650246,16,27,2
5763,1.2,973.4871795,827.5,973.4871795,0.586750789,0.494791667,0.980295567,0.980295567,7,7,1
5764,1.2,626.9569536,968.095122,968.095122,0.422818792,0.637096774,0.794334975,0.980295567,5,7,2
5765,1.2,626.9569536,1012.067843,626.9569536,0.422818792,0.597325409,0.794334975,0.980295567,5,7,1
5766,1.2,829.2739044,952.5,829.2739044,0.508038585,0.5,0.756157635,0.310344828,16,3,1
5767,1.2,948.7126437,966.4918033,948.7126437,1,0.617021277,0.310344828,0.166256158,3,2,1
5768,1.2,948.7126437,966.4918033,966.4918033,0.466666667,0.617021277,0.780788177,0.166256158,25,2,2
5769,1.2,952.5,827.5,827.5,0.6,0.494791667,0.293719212,0.980295567,9,7,2
5770,1.2,952.5,846.2139037,952.5,0.666666667,0.541262136,0.794334975,1,5,17,1
5771,1.2,626.9569536,827.5,626.9569536,0.422818792,0.494791667,0.794334975,0.980295567,5,7,1
5772,1.2,829.2739044,626.9569536,626.9569536,0.508038585,0.422818792,0.756157635,0.794334975,16,5,2
5773,1.2,846.2139037,949.945122,846.2139037,0.541262136,0.473684211,1,1,17,17,1
5774,1.2,829.2739044,871.6798246,829.2739044,0.508038585,0.435483871,0.756157635,1,16,17,1
5775,1.2,902.3966245,952.5,952.5,0.613095238,0.454545455,0.756157635,0.233990148,16,15,2
5776,1.2,968.095122,829.2739044,829.2739044,0.409090909,0.508038585,1,0.756157635,17,16,2
5777,1.2,796.3225806,871.6798246,871.6798246,0.475524476,0.435483871,0.306650246,1,27,17,2
5778,1.2,829.2739044,796.3225806,796.3225806,0.508038585,0.475524476,0.756157635,0.306650246,16,27,2
5779,1.2,626.9569536,829.2739044,626.9569536,0.422818792,0.508038585,0.794334975,0.756157635,5,16,1
5780,1.2,829.2739044,827.5,827.5,0.508038585,0.494791667,0.756157635,0.980295567,16,7,2
5781,1.2,796.3225806,829.2739044,829.2739044,0.475524476,0.508038585,0.306650246,0.756157635,27,16,2
5782,1.2,846.2139037,626.9569536,626.9569536,0.541262136,0.422818792,1,0.794334975,17,5,2
5783,1.2,846.2139037,829.2739044,846.2139037,0.541262136,0.508038585,1,0.756157635,17,16,1
5784,1.2,952.5,902.3966245,952.5,0.666666667,0.613095238,0.083128079,0.756157635,1,16,1
5785,1.2,826.9859438,902.3966245,826.9859438,0.352941176,0.613095238,0.02770936,0.756157635,22,16,1
5786,1.2,902.3966245,949.945122,949.945122,0.613095238,0.473684211,0.756157635,1,16,17,2
5787,1.2,948.7126437,1012.067843,1012.067843,0.428571429,0.597325409,0.168719212,0.980295567,10,7,2
5788,1.2,973.4871795,948.7126437,973.4871795,0.586750789,0.25,0.980295567,0.756157635,7,16,1
5789,1.2,902.3966245,626.9569536,902.3966245,0.613095238,0.422818792,0.756157635,0.794334975,16,5,1
