player,strat,wins,total_matches,winrate
elennon,AG,2,3,0.666666667
elennon,AH,3,5,0.6
elennon,AK,1,2,0.5
elennon,AM,0,1,0
elennon,AR,4,6,0.666666667
elennon,AW,1,2,0.5
elennon,BH,1,2,0.5
elennon,BK,6,10,0.6
elennon,BM,2,4,0.5
elennon,BR,5,16,0.3125
elennon,BW,1,5,0.2
elennon,GH,12,17,0.705882353
elennon,GK,1,1,1
elennon,GM,5,11,0.454545455
elennon,GR,4,6,0.666666667
elennon,GW,14,26,0.538461538
elennon,HK,2,4,0.5
elennon,HR,1,2,0.5
elennon,KM,3,6,0.5
elennon,KR,2,8,0.25
elennon,KW,0,4,0
elennon,MR,11,25,0.44
elennon,RW,13,22,0.590909091
frick,AK,0,1,0
georgedo,AG,0,2,0
georgedo,AH,1,2,0.5
georgedo,AK,3,10,0.3
georgedo,AR,9,11,0.818181818
georgedo,AW,0,1,0
georgedo,BG,7,17,0.411764706
georgedo,BH,0,1,0
georgedo,BK,2,4,0.5
georgedo,BM,0,1,0
georgedo,BR,2,7,0.285714286
georgedo,BW,0,2,0
georgedo,GH,0,1,0
georgedo,GK,29,56,0.517857143
georgedo,GM,0,2,0
georgedo,GR,7,10,0.7
georgedo,GW,6,12,0.5
georgedo,HK,0,2,0
georgedo,KM,1,4,0.25
georgedo,KR,17,27,0.62962963
georgedo,KW,0,3,0
georgedo,MR,57,108,0.527777778
georgedo,MW,2,2,1
georgedo,RW,3,4,0.75
grobis,AK,1,1,1
gummytribble,AH,0,4,0
gummytribble,AR,0,1,0
gummytribble,BM,1,1,1
gummytribble,BW,0,1,0
gummytribble,GM,1,2,0.5
gummytribble,HK,0,1,0
gummytribble,HM,1,3,0.333333333
gummytribble,HR,1,5,0.2
gummytribble,HW,3,6,0.5
gummytribble,KM,2,2,1
gummytribble,KR,0,1,0
gummytribble,MR,9,13,0.692307692
gummytribble,MW,1,1,1
jack,AB,1,1,1
jack,AK,1,1,1
jack,AM,1,1,1
jack,AR,12,38,0.315789474
jack,BH,1,1,1
jack,HK,1,1,1
jack,HR,13,36,0.361111111
jack,HW,0,1,0
jack,RW,0,1,0
jaymoney,AG,1,1,1
jaymoney,AH,4,7,0.571428571
jaymoney,AW,1,1,1
jaymoney,BG,1,1,1
jaymoney,BW,0,1,0
jaymoney,GH,3,6,0.5
jaymoney,GM,1,1,1
jaymoney,GR,1,1,1
jaymoney,GW,6,11,0.545454545
jaymoney,HK,2,3,0.666666667
jaymoney,HR,0,1,0
jaymoney,HW,1,3,0.333333333
jaymoney,KR,2,2,1
jaymoney,KW,1,1,1
jaymoney,MR,2,3,0.666666667
joanna,AR,0,1,0
jonildo,AB,2,3,0.666666667
jonildo,AH,1,1,1
jonildo,AK,0,3,0
jonildo,AR,1,1,1
jonildo,AW,0,2,0
jonildo,BG,0,1,0
jonildo,BR,0,1,0
jonildo,GR,1,1,1
jonildo,GW,4,7,0.571428571
jonildo,KR,1,2,0.5
jonildo,KW,1,1,1
jonildo,MR,6,9,0.666666667
kubajj,AG,1,5,0.2
kubajj,AH,0,2,0
kubajj,AK,2,3,0.666666667
kubajj,AR,0,1,0
kubajj,AW,0,1,0
kubajj,BG,1,4,0.25
kubajj,BK,2,3,0.666666667
kubajj,BM,4,6,0.666666667
kubajj,BW,0,2,0
kubajj,GH,1,2,0.5
kubajj,GK,4,7,0.571428571
kubajj,GM,5,12,0.416666667
kubajj,GR,0,1,0
kubajj,GW,5,15,0.333333333
kubajj,HK,1,1,1
kubajj,HM,1,2,0.5
kubajj,HR,0,1,0
kubajj,KM,8,16,0.5
kubajj,KW,2,2,1
kubajj,MR,74,122,0.606557377
kubajj,MW,0,2,0
l17r,AB,1,1,1
l17r,AG,1,1,1
l17r,AH,9,12,0.75
l17r,AM,3,3,1
l17r,AR,315,745,0.422818792
l17r,AW,1,6,0.166666667
l17r,BM,71,130,0.546153846
