player,strat,wins,total_matches,winrate
creilly2,BarbarianHealer,0,1,0
creilly2,MonkRogue,1,1,1
dalinar,ArcherBarbarian,2,5,0.4
dalinar,ArcherHealer,1,3,0.333333333
dalinar,ArcherKnight,3,5,0.6
dalinar,ArcherMonk,1,2,0.5
dalinar,ArcherRogue,5,8,0.625
dalinar,ArcherWizard,1,2,0.5
dalinar,BarbarianGunner,2,2,1
dalinar,BarbarianKnight,5,7,0.714285714
dalinar,BarbarianMonk,1,1,1
dalinar,GunnerRogue,4,7,0.571428571
dalinar,GunnerWizard,3,11,0.272727273
dalinar,KnightRogue,3,7,0.428571429
dalinar,KnightWizard,0,1,0
dalinar,MonkRogue,4,7,0.571428571
dalinar,RogueWizard,2,4,0.5
l17r,ArcherBarbarian,4,6,0.666666667
l17r,ArcherGunner,1,3,0.333333333
l17r,ArcherHealer,0,1,0
l17r,ArcherKnight,0,2,0
l17r,ArcherMonk,1,1,1
l17r,ArcherRogue,259,606,0.427392739
l17r,ArcherWizard,0,5,0
l17r,BarbarianGunner,7,18,0.388888889
l17r,BarbarianHealer,1,1,1
l17r,BarbarianKnight,6,9,0.666666667
l17r,BarbarianMonk,3,9,0.333333333
l17r,BarbarianWizard,1,2,0.5
l17r,GunnerHealer,0,1,0
l17r,GunnerKnight,0,2,0
l17r,GunnerRogue,15,28,0.535714286
l17r,GunnerWizard,15,47,0.319148936
l17r,HealerKnight,1,1,1
l17r,MonkRogue,3,10,0.3
l17r,RogueWizard,2,8,0.25
pool27,ArcherWizard,0,1,0
pool27,BarbarianKnight,0,1,0
pool27,HealerWizard,2,4,0.5
pool27,KnightMonk,1,1,1
