,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
4584,1.2,3710,1092,992.7021277,0.672727273,0.5,0.310344828,0.756157635,3,16,2
4585,1.2,222,3710,1002.710526,0.75,0.672727273,0.166256158,0.310344828,2,3,2
4586,1.2,3710,406,1002.710526,0.672727273,0.5,0.310344828,0.980295567,3,7,1
4587,1.2,3710,406,1002.710526,0.672727273,0.5,0.310344828,0.980295567,3,7,1
4588,1.2,312,5370,944.4407407,0.428571429,0.594594595,0.155788177,0.110837438,0,6,2
4589,1.2,10289,222,846.2139037,0.541262136,0.666666667,1,0.310344828,17,3,1
4590,1.2,13656,15234,626.9569536,0.363636364,0.422818792,0.116995074,0.794334975,12,5,2
4591,1.2,11109,10289,846.2139037,0.586750789,0.541262136,0.980295567,1,7,17,2
4592,1.2,10289,1329,846.2139037,0.541262136,0.666666667,1,0.16317734,17,18,1
4593,1.2,809,1990,992,0.75,0.411764706,0.104064039,0.794334975,13,5,1
4594,1.2,1055,8524,872.4835165,0.2,0.487179487,0.163793103,0.756157635,23,16,2
4595,1.2,5885,406,931.742268,0.517857143,0.5,0.215517241,0.980295567,14,7,1
4596,1.2,5635,2240,995.1,0.666666667,0.666666667,0.310344828,0.794334975,3,5,2
4597,1.2,1329,3373,1000.636364,0.666666667,0.625,0.16317734,0,18,19,1
4598,1.2,535,6337,982.7297297,0.2,0.594736842,0.116995074,0.310344828,12,3,2
4599,1.2,1990,80,973.9891304,0.647058824,0,0.215517241,0.166256158,14,2,1
4600,1.2,3710,312,1002.710526,0.672727273,0.428571429,0.310344828,0.155788177,3,0,1
4601,1.2,10289,1329,1000.636364,0.541262136,1,1,0.163793103,17,23,2
4602,1.2,809,10289,992,1,0.541262136,0.16317734,1,18,17,1
4603,1.2,1055,5885,931.742268,0.2,0.517857143,0.099137931,0.215517241,20,14,2
4604,1.2,222,2240,1002.428571,0.75,0.542857143,0.166256158,0.09544335,2,8,1
4605,1.2,2227,13656,796.3225806,0.64,0.404255319,0.756157635,1,16,17,2
4606,1.2,10151,1329,1000.636364,0.652173913,1,0.215517241,0.163793103,14,23,2
4607,1.2,3710,5370,1002.710526,0.672727273,0.2,0.310344828,0.003694581,3,21,1
4608,1.2,1990,13656,973.9891304,0.411764706,0.2,0.794334975,0.06773399,5,24,1
4609,1.2,3710,809,992,0.444444444,1,0.215517241,0.16317734,14,18,2
4610,1.2,1990,10151,827.5,0.25,0.652173913,0.06773399,0.215517241,24,14,2
